company,Prev_Close,Current_Price,Changes,comments
Excel Realty N Infra,0.30,0.55,83.33,weekly nse groupall 2022-12-02
Axita Cotton,36.85,55.05,49.39,weekly nse groupall 2022-12-02
Lakshmi Finance,99.65,147.90,48.42,weekly nse groupall 2022-12-02
SBC Exports,11.05,16.25,47.06,weekly nse groupall 2022-12-02
Bhandari Hosiery,4.75,6.70,41.05,weekly nse groupall 2022-12-02
Prime Focus,68.55,90.60,32.17,weekly nse groupall 2022-12-02
HLV L,10.65,13.95,30.99,weekly nse groupall 2022-12-02
Sadbhav Engineering,13.45,17.50,30.11,weekly nse groupall 2022-12-02
DCM Ltd.,74.00,94.60,27.84,weekly nse groupall 2022-12-02
Maha Rashtra Ape,104.65,133.45,27.52,weekly nse groupall 2022-12-02
Nxtdigital L,79.65,101.50,27.43,weekly nse groupall 2022-12-02
Rico Auto Inds.,60.90,77.45,27.18,weekly nse groupall 2022-12-02
Vinny Overseas,78.75,100.15,27.17,weekly nse groupall 2022-12-02
DRC Systems India,29.30,37.25,27.13,weekly nse groupall 2022-12-02
Sumit Woods,28.55,36.25,26.97,weekly nse groupall 2022-12-02
Williamson Magor,18.75,23.75,26.67,weekly nse groupall 2022-12-02
Salasar Techno Engin,32.45,41.10,26.66,weekly nse groupall 2022-12-02
Sanco Industries,9.25,11.70,26.49,weekly nse groupall 2022-12-02
Kridhan Infra,3.40,4.30,26.47,weekly nse groupall 2022-12-02
Moksh Ornaments Ltd.,11.00,13.90,26.36,weekly nse groupall 2022-12-02
Suumaya Industries,35.55,44.80,26.02,weekly nse groupall 2022-12-02
Radhika Jeweltech,138.95,174.75,25.76,weekly nse groupall 2022-12-02
PVP Ventures Ltd.,8.55,10.75,25.73,weekly nse groupall 2022-12-02
Premier Polyfilm,86.25,107.65,24.81,weekly nse groupall 2022-12-02
Dhanlaxmi Bank,15.10,18.45,22.19,weekly nse groupall 2022-12-02
Maral Overseas,56.75,69.15,21.85,weekly nse groupall 2022-12-02
KBC Global,2.75,3.35,21.82,weekly nse groupall 2022-12-02
JaiprakashAssociates,9.40,11.45,21.81,weekly nse groupall 2022-12-02
Raymond Ltd,"1,322.80","1,608.90",21.63,weekly nse groupall 2022-12-02
Cosmo First,693.90,843.40,21.54,weekly nse groupall 2022-12-02
Hubtown,48.45,58.60,20.95,weekly nse groupall 2022-12-02
Refex Industries,253.30,305.10,20.45,weekly nse groupall 2022-12-02
Bajaj HindusthanSuga,11.25,13.50,20.0,weekly nse groupall 2022-12-02
Skipper Ltd.,90.70,108.65,19.79,weekly nse groupall 2022-12-02
LCC Infotech,2.30,2.75,19.57,weekly nse groupall 2022-12-02
Country Condo's,4.10,4.90,19.51,weekly nse groupall 2022-12-02
Ajmera Realty & Infr,281.00,334.65,19.09,weekly nse groupall 2022-12-02
Prozone Intu Propert,21.75,25.90,19.08,weekly nse groupall 2022-12-02
